Input;Start;Finish;Input.file.size;Output.file.size
0.data/mlammers_ML01_Mai11/A006850198_172563_S214_L001_R1_001.mapped.sam;20230906234213;20230906234831;513572;2324
0.data/mlammers_ML01_Mai11/A006850198_172565_S215_L001_R1_001.mapped.sam;20230906234831;20230906235349;464008;2328
0.data/mlammers_ML01_Mai11/A006850198_172567_S216_L001_R1_001.mapped.sam;20230906235349;20230907000222;683928;2324
0.data/mlammers_ML01_Mai11/A006850198_172569_S217_L001_R1_001.mapped.sam;20230907000222;20230907001529;1062216;2328
0.data/mlammers_ML01_Mai11/A006850198_172571_S218_L001_R1_001.mapped.sam;20230907001529;20230907002101;450968;2324
0.data/mlammers_ML01_Mai11/A006850198_172573_S219_L001_R1_001.mapped.sam;20230907002101;20230907002641;435208;2324
0.data/mlammers_ML01_Mai11/A006850198_172575_S220_L001_R1_001.mapped.sam;20230907002641;20230907003032;366700;2328
0.data/mlammers_ML01_Mai11/A006850198_172577_S221_L001_R1_001.mapped.sam;20230907003032;20230907004156;977836;2328
0.data/mlammers_ML01_Mai11/A006850198_172579_S222_L001_R1_001.mapped.sam;20230907004156;20230907005332;898896;2328
0.data/mlammers_ML01_Mai11/A006850198_172581_S223_L001_R1_001.mapped.sam;20230907005333;20230907010411;889188;2336
0.data/mlammers_ML01_Mai11/A006850198_172583_S224_L001_R1_001.mapped.sam;20230907010411;20230907011858;1136452;2332
0.data/mlammers_ML01_Mai11/A006850198_172585_S225_L001_R1_001.mapped.sam;20230907011858;20230907012956;847092;2328
0.data/mlammers_ML01_Mai11/A006850198_172587_S226_L001_R1_001.mapped.sam;20230907012956;20230907014254;1013256;2328
0.data/mlammers_ML01_Mai11/A006850198_172589_S227_L001_R1_001.mapped.sam;20230907014254;20230907015546;923048;2328
0.data/mlammers_ML01_Mai11/A006850198_172591_S228_L001_R1_001.mapped.sam;20230907015546;20230907020758;979012;2328
0.data/mlammers_ML01_Mai11/A006850198_172593_S229_L001_R1_001.mapped.sam;20230907020759;20230907021607;826396;2332
0.data/mlammers_ML01_Mai11/A006850198_172595_S230_L001_R1_001.mapped.sam;20230907021607;20230907023037;1058864;2328
0.data/mlammers_ML01_Mai11/A006850198_172597_S231_L001_R1_001.mapped.sam;20230907023037;20230907024330;945232;2328
0.data/mlammers_ML01_Mai11/A006850198_172599_S232_L001_R1_001.mapped.sam;20230907024330;20230907025505;850864;2328
0.data/mlammers_ML01_Mai11/A006850198_172601_S233_L001_R1_001.mapped.sam;20230907025505;20230907030505;800596;2328
0.data/mlammers_ML01_Mai11/A006850198_172604_S234_L001_R1_001.mapped.sam;20230907030506;20230907031604;772808;2324
0.data/mlammers_ML01_Mai11/A006850198_172606_S235_L001_R1_001.mapped.sam;20230907031604;20230907032544;732744;2328
0.data/mlammers_ML01_Mai11/A006850198_172608_S236_L001_R1_001.mapped.sam;20230907032544;20230907033708;859108;2332
0.data/mlammers_ML01_Mai11/A006850198_172610_S237_L001_R1_001.mapped.sam;20230907033708;20230907034556;697728;2328
0.data/mlammers_ML01_Mai11/A006850198_172612_S238_L001_R1_001.mapped.sam;20230907034556;20230907035719;988592;2336
0.data/mlammers_ML01_Mai11/A006850198_172614_S239_L001_R1_001.mapped.sam;20230907035720;20230907040726;893420;2336
0.data/mlammers_ML01_Mai11/A006850198_172616_S240_L001_R1_001.mapped.sam;20230907040726;20230907041528;580432;2324
0.data/mlammers_ML01_Mai11/A006850198_172618_S241_L001_R1_001.mapped.sam;20230907041528;20230907042450;673024;2320
0.data/mlammers_ML01_Mai11/A006850198_172620_S242_L001_R1_001.mapped.sam;20230907042450;20230907043412;654044;2320
0.data/mlammers_ML01_Mai11/A006850198_172622_S243_L001_R1_001.mapped.sam;20230907043412;20230907044454;741148;2320
