0.data/mlammers_ML01_Mai11/	172650	0.data/mlammers_ML01_Mai11/A006850198_172650_S257_L001_R1_001.fastq.gz	A006850198	S257	L001	R1	Pool17-venom	Pool17	venom
0.data/mlammers_ML01_Mai11/	172650	0.data/mlammers_ML01_Mai11/A006850198_172650_S257_L002_R1_001.fastq.gz	A006850198	S257	L002	R1	Pool17-venom	Pool17	venom
0.data/mlammers_ML01_Mai11/	172652	0.data/mlammers_ML01_Mai11/A006850198_172652_S258_L001_R1_001.fastq.gz	A006850198	S258	L001	R1	Pool18-venom	Pool18	venom
0.data/mlammers_ML01_Mai11/	172652	0.data/mlammers_ML01_Mai11/A006850198_172652_S258_L002_R1_001.fastq.gz	A006850198	S258	L002	R1	Pool18-venom	Pool18	venom
0.data/mlammers_ML01_Mai11/	172654	0.data/mlammers_ML01_Mai11/A006850198_172654_S259_L001_R1_001.fastq.gz	A006850198	S259	L001	R1	Pool19-venom	Pool19	venom
0.data/mlammers_ML01_Mai11/	172654	0.data/mlammers_ML01_Mai11/A006850198_172654_S259_L002_R1_001.fastq.gz	A006850198	S259	L002	R1	Pool19-venom	Pool19	venom
0.data/mlammers_ML01_Mai11/	172656	0.data/mlammers_ML01_Mai11/A006850198_172656_S260_L001_R1_001.fastq.gz	A006850198	S260	L001	R1	Pool20-venom	Pool20	venom
0.data/mlammers_ML01_Mai11/	172656	0.data/mlammers_ML01_Mai11/A006850198_172656_S260_L002_R1_001.fastq.gz	A006850198	S260	L002	R1	Pool20-venom	Pool20	venom
0.data/mlammers_ML01_Mai11/	172658	0.data/mlammers_ML01_Mai11/A006850198_172658_S261_L001_R1_001.fastq.gz	A006850198	S261	L001	R1	Pool21-venom	Pool21	venom
0.data/mlammers_ML01_Mai11/	172658	0.data/mlammers_ML01_Mai11/A006850198_172658_S261_L002_R1_001.fastq.gz	A006850198	S261	L002	R1	Pool21-venom	Pool21	venom
0.data/mlammers_ML01_Mai11/	172660	0.data/mlammers_ML01_Mai11/A006850198_172660_S262_L001_R1_001.fastq.gz	A006850198	S262	L001	R1	Pool22-venom	Pool22	venom
0.data/mlammers_ML01_Mai11/	172660	0.data/mlammers_ML01_Mai11/A006850198_172660_S262_L002_R1_001.fastq.gz	A006850198	S262	L002	R1	Pool22-venom	Pool22	venom
0.data/mlammers_ML01_Mai11/	172662	0.data/mlammers_ML01_Mai11/A006850198_172662_S263_L001_R1_001.fastq.gz	A006850198	S263	L001	R1	Pool23-venom	Pool23	venom
0.data/mlammers_ML01_Mai11/	172662	0.data/mlammers_ML01_Mai11/A006850198_172662_S263_L002_R1_001.fastq.gz	A006850198	S263	L002	R1	Pool23-venom	Pool23	venom
0.data/mlammers_ML01_Mai11/	172664	0.data/mlammers_ML01_Mai11/A006850198_172664_S264_L001_R1_001.fastq.gz	A006850198	S264	L001	R1	Pool24-venom	Pool24	venom
0.data/mlammers_ML01_Mai11/	172664	0.data/mlammers_ML01_Mai11/A006850198_172664_S264_L002_R1_001.fastq.gz	A006850198	S264	L002	R1	Pool24-venom	Pool24	venom
0.data/mlammers_ML01_Mai11/	172666	0.data/mlammers_ML01_Mai11/A006850198_172666_S265_L001_R1_001.fastq.gz	A006850198	S265	L001	R1	Pool25-venom	Pool25	venom
0.data/mlammers_ML01_Mai11/	172666	0.data/mlammers_ML01_Mai11/A006850198_172666_S265_L002_R1_001.fastq.gz	A006850198	S265	L002	R1	Pool25-venom	Pool25	venom
0.data/mlammers_ML01_Mai11/	172668	0.data/mlammers_ML01_Mai11/A006850198_172668_S266_L001_R1_001.fastq.gz	A006850198	S266	L001	R1	Pool26-venom	Pool26	venom
0.data/mlammers_ML01_Mai11/	172668	0.data/mlammers_ML01_Mai11/A006850198_172668_S266_L002_R1_001.fastq.gz	A006850198	S266	L002	R1	Pool26-venom	Pool26	venom
0.data/mlammers_ML01_Mai11/	172670	0.data/mlammers_ML01_Mai11/A006850198_172670_S267_L001_R1_001.fastq.gz	A006850198	S267	L001	R1	Pool27-venom	Pool27	venom
0.data/mlammers_ML01_Mai11/	172670	0.data/mlammers_ML01_Mai11/A006850198_172670_S267_L002_R1_001.fastq.gz	A006850198	S267	L002	R1	Pool27-venom	Pool27	venom
0.data/mlammers_ML01_Mai11/	172672	0.data/mlammers_ML01_Mai11/A006850198_172672_S268_L001_R1_001.fastq.gz	A006850198	S268	L001	R1	Pool28-venom	Pool28	venom
