FileID	Sample.Name	Path	Sample	Tissue
172537	Pool13-ovaries	0.data/mlammers_ML01_Mai11/	Pool13	ovaries
172539	Pool14-ovaries	0.data/mlammers_ML01_Mai11/	Pool14	ovaries
172541	Pool15-ovaries	0.data/mlammers_ML01_Mai11/	Pool15	ovaries
172543	Pool16-ovaries	0.data/mlammers_ML01_Mai11/	Pool16	ovaries
172545	Pool17-ovaries	0.data/mlammers_ML01_Mai11/	Pool17	ovaries
172547	Pool18-ovaries	0.data/mlammers_ML01_Mai11/	Pool18	ovaries
172549	Pool19-ovaries	0.data/mlammers_ML01_Mai11/	Pool19	ovaries
172551	Pool20-ovaries	0.data/mlammers_ML01_Mai11/	Pool20	ovaries
172553	Pool21-ovaries	0.data/mlammers_ML01_Mai11/	Pool21	ovaries
172555	Pool22-ovaries	0.data/mlammers_ML01_Mai11/	Pool22	ovaries
172557	Pool23-ovaries	0.data/mlammers_ML01_Mai11/	Pool23	ovaries
172559	Pool24-ovaries	0.data/mlammers_ML01_Mai11/	Pool24	ovaries
172561	Pool25-ovaries	0.data/mlammers_ML01_Mai11/	Pool25	ovaries
172563	Pool26-ovaries	0.data/mlammers_ML01_Mai11/	Pool26	ovaries
172565	Pool27-ovaries	0.data/mlammers_ML01_Mai11/	Pool27	ovaries
172567	Pool28-ovaries	0.data/mlammers_ML01_Mai11/	Pool28	ovaries
172569	Pool29-ovaries	0.data/mlammers_ML01_Mai11/	Pool29	ovaries
172571	Pool30-ovaries	0.data/mlammers_ML01_Mai11/	Pool30	ovaries
172573	Pool31-ovaries	0.data/mlammers_ML01_Mai11/	Pool31	ovaries
172575	Pool32-ovaries	0.data/mlammers_ML01_Mai11/	Pool32	ovaries
172577	Pool33-ovaries	0.data/mlammers_ML01_Mai11/	Pool33	ovaries
172579	Pool34-ovaries	0.data/mlammers_ML01_Mai11/	Pool34	ovaries
172581	Pool35-ovaries	0.data/mlammers_ML01_Mai11/	Pool35	ovaries
172583	Pool36-ovaries	0.data/mlammers_ML01_Mai11/	Pool36	ovaries
172585	Pool37-ovaries	0.data/mlammers_ML01_Mai11/	Pool37	ovaries
172587	Pool38-ovaries	0.data/mlammers_ML01_Mai11/	Pool38	ovaries
172589	Pool39-ovaries	0.data/mlammers_ML01_Mai11/	Pool39	ovaries
172591	Pool40-ovaries	0.data/mlammers_ML01_Mai11/	Pool40	ovaries
172593	Pool41-ovaries	0.data/mlammers_ML01_Mai11/	Pool41	ovaries
172595	Pool42-ovaries	0.data/mlammers_ML01_Mai11/	Pool42	ovaries
172597	Pool43-ovaries	0.data/mlammers_ML01_Mai11/	Pool43	ovaries
172599	Pool44-ovaries	0.data/mlammers_ML01_Mai11/	Pool44	ovaries
172601	Pool45-ovaries	0.data/mlammers_ML01_Mai11/	Pool45	ovaries
172604	Pool46-ovaries	0.data/mlammers_ML01_Mai11/	Pool46	ovaries
172606	Pool47-ovaries	0.data/mlammers_ML01_Mai11/	Pool47	ovaries
172608	Pool48-ovaries	0.data/mlammers_ML01_Mai11/	Pool48	ovaries
172610	Pool49-ovaries	0.data/mlammers_ML01_Mai11/	Pool49	ovaries
172612	Pool50-ovaries	0.data/mlammers_ML01_Mai11/	Pool50	ovaries
172614	Pool51-ovaries	0.data/mlammers_ML01_Mai11/	Pool51	ovaries
172616	Pool52-ovaries	0.data/mlammers_ML01_Mai11/	Pool52	ovaries
172618	Pool1-venom	0.data/mlammers_ML01_Mai11/	Pool1	venom
172620	Pool2-venom	0.data/mlammers_ML01_Mai11/	Pool2	venom
172622	Pool3-venom	0.data/mlammers_ML01_Mai11/	Pool3	venom
172624	Pool4-venom	0.data/mlammers_ML01_Mai11/	Pool4	venom
172626	Pool5-venom	0.data/mlammers_ML01_Mai11/	Pool5	venom
172628	Pool6-venom	0.data/mlammers_ML01_Mai11/	Pool6	venom
172630	Pool7-venom	0.data/mlammers_ML01_Mai11/	Pool7	venom
172632	Pool8-venom	0.data/mlammers_ML01_Mai11/	Pool8	venom
172634	Pool9-venom	0.data/mlammers_ML01_Mai11/	Pool9	venom
172636	Pool10-venom	0.data/mlammers_ML01_Mai11/	Pool10	venom
172638	Pool11-venom	0.data/mlammers_ML01_Mai11/	Pool11	venom
172640	Pool12-venom	0.data/mlammers_ML01_Mai11/	Pool12	venom
172642	Pool13-venom	0.data/mlammers_ML01_Mai11/	Pool13	venom
172644	Pool14-venom	0.data/mlammers_ML01_Mai11/	Pool14	venom
172646	Pool15-venom	0.data/mlammers_ML01_Mai11/	Pool15	venom
172648	Pool16-venom	0.data/mlammers_ML01_Mai11/	Pool16	venom
172650	Pool17-venom	0.data/mlammers_ML01_Mai11/	Pool17	venom
172652	Pool18-venom	0.data/mlammers_ML01_Mai11/	Pool18	venom
172654	Pool19-venom	0.data/mlammers_ML01_Mai11/	Pool19	venom
172656	Pool20-venom	0.data/mlammers_ML01_Mai11/	Pool20	venom
172658	Pool21-venom	0.data/mlammers_ML01_Mai11/	Pool21	venom
172660	Pool22-venom	0.data/mlammers_ML01_Mai11/	Pool22	venom
172662	Pool23-venom	0.data/mlammers_ML01_Mai11/	Pool23	venom
172664	Pool24-venom	0.data/mlammers_ML01_Mai11/	Pool24	venom
172666	Pool25-venom	0.data/mlammers_ML01_Mai11/	Pool25	venom
172668	Pool26-venom	0.data/mlammers_ML01_Mai11/	Pool26	venom
172670	Pool27-venom	0.data/mlammers_ML01_Mai11/	Pool27	venom
172672	Pool28-venom	0.data/mlammers_ML01_Mai11/	Pool28	venom
172674	Pool29-venom	0.data/mlammers_ML01_Mai11/	Pool29	venom
172676	Pool30-venom	0.data/mlammers_ML01_Mai11/	Pool30	venom
172678	Pool31-venom	0.data/mlammers_ML01_Mai11/	Pool31	venom
172680	Pool32-venom	0.data/mlammers_ML01_Mai11/	Pool32	venom
172682	Pool33-venom	0.data/mlammers_ML01_Mai11/	Pool33	venom
172684	Pool34-venom	0.data/mlammers_ML01_Mai11/	Pool34	venom
172686	Pool35-venom	0.data/mlammers_ML01_Mai11/	Pool35	venom
172688	Pool36-venom	0.data/mlammers_ML01_Mai11/	Pool36	venom
172690	Pool37-venom	0.data/mlammers_ML01_Mai11/	Pool37	venom
172692	Pool38-venom	0.data/mlammers_ML01_Mai11/	Pool38	venom
172694	Pool39-venom	0.data/mlammers_ML01_Mai11/	Pool39	venom
172696	Pool40-venom	0.data/mlammers_ML01_Mai11/	Pool40	venom
172698	Pool41-venom	0.data/mlammers_ML01_Mai11/	Pool41	venom
172700	Pool42-venom	0.data/mlammers_ML01_Mai11/	Pool42	venom
172703	Pool43-venom	0.data/mlammers_ML01_Mai11/	Pool43	venom
172705	Pool44-venom	0.data/mlammers_ML01_Mai11/	Pool44	venom
172707	Pool45-venom	0.data/mlammers_ML01_Mai11/	Pool45	venom
172709	Pool46-venom	0.data/mlammers_ML01_Mai11/	Pool46	venom
172711	Pool47-venom	0.data/mlammers_ML01_Mai11/	Pool47	venom
172713	Pool48-venom	0.data/mlammers_ML01_Mai11/	Pool48	venom
172715	Pool49-venom	0.data/mlammers_ML01_Mai11/	Pool49	venom
172717	Pool50-venom	0.data/mlammers_ML01_Mai11/	Pool50	venom
172719	Pool51-venom	0.data/mlammers_ML01_Mai11/	Pool51	venom
172721	Pool52-venom	0.data/mlammers_ML01_Mai11/	Pool52	venom
