File.name	A00	FileID	S	L	R	Path
0.data/mlammers_ML01_Mai11/A006850198_172428_S147_L001_R1_001.fastq.gz	A006850198	172428	S147	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172428_S147_L002_R1_001.fastq.gz	A006850198	172428	S147	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172430_S148_L001_R1_001.fastq.gz	A006850198	172430	S148	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172430_S148_L002_R1_001.fastq.gz	A006850198	172430	S148	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172432_S149_L001_R1_001.fastq.gz	A006850198	172432	S149	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172432_S149_L002_R1_001.fastq.gz	A006850198	172432	S149	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172434_S150_L001_R1_001.fastq.gz	A006850198	172434	S150	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172434_S150_L002_R1_001.fastq.gz	A006850198	172434	S150	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172436_S151_L001_R1_001.fastq.gz	A006850198	172436	S151	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172436_S151_L002_R1_001.fastq.gz	A006850198	172436	S151	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172438_S152_L001_R1_001.fastq.gz	A006850198	172438	S152	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172438_S152_L002_R1_001.fastq.gz	A006850198	172438	S152	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172440_S153_L001_R1_001.fastq.gz	A006850198	172440	S153	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172440_S153_L002_R1_001.fastq.gz	A006850198	172440	S153	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172442_S154_L001_R1_001.fastq.gz	A006850198	172442	S154	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172442_S154_L002_R1_001.fastq.gz	A006850198	172442	S154	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172444_S155_L001_R1_001.fastq.gz	A006850198	172444	S155	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172444_S155_L002_R1_001.fastq.gz	A006850198	172444	S155	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172446_S156_L001_R1_001.fastq.gz	A006850198	172446	S156	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172446_S156_L002_R1_001.fastq.gz	A006850198	172446	S156	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172448_S157_L001_R1_001.fastq.gz	A006850198	172448	S157	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172448_S157_L002_R1_001.fastq.gz	A006850198	172448	S157	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172450_S158_L001_R1_001.fastq.gz	A006850198	172450	S158	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172450_S158_L002_R1_001.fastq.gz	A006850198	172450	S158	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172452_S159_L001_R1_001.fastq.gz	A006850198	172452	S159	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172452_S159_L002_R1_001.fastq.gz	A006850198	172452	S159	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172454_S160_L001_R1_001.fastq.gz	A006850198	172454	S160	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172454_S160_L002_R1_001.fastq.gz	A006850198	172454	S160	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172456_S161_L001_R1_001.fastq.gz	A006850198	172456	S161	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172456_S161_L002_R1_001.fastq.gz	A006850198	172456	S161	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172458_S162_L001_R1_001.fastq.gz	A006850198	172458	S162	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172458_S162_L002_R1_001.fastq.gz	A006850198	172458	S162	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172460_S163_L001_R1_001.fastq.gz	A006850198	172460	S163	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172460_S163_L002_R1_001.fastq.gz	A006850198	172460	S163	L002	R1	0.data/mlammers_ML01_Mai11/
