0.data/mlammers_ML01_Mai11/	172432	0.data/mlammers_ML01_Mai11/A006850198_172432_S149_L002_R1_001.fastq.gz	A006850198	S149	L002	R1	Pool13-head	Pool13	head
0.data/mlammers_ML01_Mai11/	172434	0.data/mlammers_ML01_Mai11/A006850198_172434_S150_L001_R1_001.fastq.gz	A006850198	S150	L001	R1	Pool14-head	Pool14	head
0.data/mlammers_ML01_Mai11/	172434	0.data/mlammers_ML01_Mai11/A006850198_172434_S150_L002_R1_001.fastq.gz	A006850198	S150	L002	R1	Pool14-head	Pool14	head
0.data/mlammers_ML01_Mai11/	172436	0.data/mlammers_ML01_Mai11/A006850198_172436_S151_L001_R1_001.fastq.gz	A006850198	S151	L001	R1	Pool15-head	Pool15	head
0.data/mlammers_ML01_Mai11/	172436	0.data/mlammers_ML01_Mai11/A006850198_172436_S151_L002_R1_001.fastq.gz	A006850198	S151	L002	R1	Pool15-head	Pool15	head
0.data/mlammers_ML01_Mai11/	172438	0.data/mlammers_ML01_Mai11/A006850198_172438_S152_L001_R1_001.fastq.gz	A006850198	S152	L001	R1	Pool16-head	Pool16	head
0.data/mlammers_ML01_Mai11/	172438	0.data/mlammers_ML01_Mai11/A006850198_172438_S152_L002_R1_001.fastq.gz	A006850198	S152	L002	R1	Pool16-head	Pool16	head
0.data/mlammers_ML01_Mai11/	172440	0.data/mlammers_ML01_Mai11/A006850198_172440_S153_L001_R1_001.fastq.gz	A006850198	S153	L001	R1	Pool17-head	Pool17	head
0.data/mlammers_ML01_Mai11/	172440	0.data/mlammers_ML01_Mai11/A006850198_172440_S153_L002_R1_001.fastq.gz	A006850198	S153	L002	R1	Pool17-head	Pool17	head
0.data/mlammers_ML01_Mai11/	172442	0.data/mlammers_ML01_Mai11/A006850198_172442_S154_L001_R1_001.fastq.gz	A006850198	S154	L001	R1	Pool18-head	Pool18	head
