Path	FileID	File.name	A00	S	L	R	Sample.Name	Sample	Tissue
0.data/mlammers_ML01_Mai11/	172420	0.data/mlammers_ML01_Mai11/A006850198_172420_S143_L002_R1_001.fastq.gz	A006850198	S143	L002	R1	Pool7-head	Pool7	head
0.data/mlammers_ML01_Mai11/	172422	0.data/mlammers_ML01_Mai11/A006850198_172422_S144_L001_R1_001.fastq.gz	A006850198	S144	L001	R1	Pool8-head	Pool8	head
0.data/mlammers_ML01_Mai11/	172422	0.data/mlammers_ML01_Mai11/A006850198_172422_S144_L002_R1_001.fastq.gz	A006850198	S144	L002	R1	Pool8-head	Pool8	head
0.data/mlammers_ML01_Mai11/	172424	0.data/mlammers_ML01_Mai11/A006850198_172424_S145_L001_R1_001.fastq.gz	A006850198	S145	L001	R1	Pool9-head	Pool9	head
0.data/mlammers_ML01_Mai11/	172424	0.data/mlammers_ML01_Mai11/A006850198_172424_S145_L002_R1_001.fastq.gz	A006850198	S145	L002	R1	Pool9-head	Pool9	head
0.data/mlammers_ML01_Mai11/	172426	0.data/mlammers_ML01_Mai11/A006850198_172426_S146_L001_R1_001.fastq.gz	A006850198	S146	L001	R1	Pool10-head	Pool10	head
0.data/mlammers_ML01_Mai11/	172426	0.data/mlammers_ML01_Mai11/A006850198_172426_S146_L002_R1_001.fastq.gz	A006850198	S146	L002	R1	Pool10-head	Pool10	head
0.data/mlammers_ML01_Mai11/	172428	0.data/mlammers_ML01_Mai11/A006850198_172428_S147_L001_R1_001.fastq.gz	A006850198	S147	L001	R1	Pool11-head	Pool11	head
0.data/mlammers_ML01_Mai11/	172428	0.data/mlammers_ML01_Mai11/A006850198_172428_S147_L002_R1_001.fastq.gz	A006850198	S147	L002	R1	Pool11-head	Pool11	head
0.data/mlammers_ML01_Mai11/	172430	0.data/mlammers_ML01_Mai11/A006850198_172430_S148_L001_R1_001.fastq.gz	A006850198	S148	L001	R1	Pool12-head	Pool12	head
0.data/mlammers_ML01_Mai11/	172430	0.data/mlammers_ML01_Mai11/A006850198_172430_S148_L002_R1_001.fastq.gz	A006850198	S148	L002	R1	Pool12-head	Pool12	head
0.data/mlammers_ML01_Mai11/	172432	0.data/mlammers_ML01_Mai11/A006850198_172432_S149_L001_R1_001.fastq.gz	A006850198	S149	L001	R1	Pool13-head	Pool13	head
0.data/mlammers_ML01_Mai11/	172432	0.data/mlammers_ML01_Mai11/A006850198_172432_S149_L002_R1_001.fastq.gz	A006850198	S149	L002	R1	Pool13-head	Pool13	head
0.data/mlammers_ML01_Mai11/	172434	0.data/mlammers_ML01_Mai11/A006850198_172434_S150_L001_R1_001.fastq.gz	A006850198	S150	L001	R1	Pool14-head	Pool14	head
0.data/mlammers_ML01_Mai11/	172434	0.data/mlammers_ML01_Mai11/A006850198_172434_S150_L002_R1_001.fastq.gz	A006850198	S150	L002	R1	Pool14-head	Pool14	head
0.data/mlammers_ML01_Mai11/	172436	0.data/mlammers_ML01_Mai11/A006850198_172436_S151_L001_R1_001.fastq.gz	A006850198	S151	L001	R1	Pool15-head	Pool15	head
0.data/mlammers_ML01_Mai11/	172436	0.data/mlammers_ML01_Mai11/A006850198_172436_S151_L002_R1_001.fastq.gz	A006850198	S151	L002	R1	Pool15-head	Pool15	head
0.data/mlammers_ML01_Mai11/	172438	0.data/mlammers_ML01_Mai11/A006850198_172438_S152_L001_R1_001.fastq.gz	A006850198	S152	L001	R1	Pool16-head	Pool16	head
0.data/mlammers_ML01_Mai11/	172438	0.data/mlammers_ML01_Mai11/A006850198_172438_S152_L002_R1_001.fastq.gz	A006850198	S152	L002	R1	Pool16-head	Pool16	head
0.data/mlammers_ML01_Mai11/	172440	0.data/mlammers_ML01_Mai11/A006850198_172440_S153_L001_R1_001.fastq.gz	A006850198	S153	L001	R1	Pool17-head	Pool17	head
0.data/mlammers_ML01_Mai11/	172440	0.data/mlammers_ML01_Mai11/A006850198_172440_S153_L002_R1_001.fastq.gz	A006850198	S153	L002	R1	Pool17-head	Pool17	head
0.data/mlammers_ML01_Mai11/	172442	0.data/mlammers_ML01_Mai11/A006850198_172442_S154_L001_R1_001.fastq.gz	A006850198	S154	L001	R1	Pool18-head	Pool18	head
0.data/mlammers_ML01_Mai11/	172442	0.data/mlammers_ML01_Mai11/A006850198_172442_S154_L002_R1_001.fastq.gz	A006850198	S154	L002	R1	Pool18-head	Pool18	head
0.data/mlammers_ML01_Mai11/	172444	0.data/mlammers_ML01_Mai11/A006850198_172444_S155_L001_R1_001.fastq.gz	A006850198	S155	L001	R1	Pool19-head	Pool19	head
0.data/mlammers_ML01_Mai11/	172444	0.data/mlammers_ML01_Mai11/A006850198_172444_S155_L002_R1_001.fastq.gz	A006850198	S155	L002	R1	Pool19-head	Pool19	head
0.data/mlammers_ML01_Mai11/	172446	0.data/mlammers_ML01_Mai11/A006850198_172446_S156_L001_R1_001.fastq.gz	A006850198	S156	L001	R1	Pool20-head	Pool20	head
0.data/mlammers_ML01_Mai11/	172446	0.data/mlammers_ML01_Mai11/A006850198_172446_S156_L002_R1_001.fastq.gz	A006850198	S156	L002	R1	Pool20-head	Pool20	head
0.data/mlammers_ML01_Mai11/	172448	0.data/mlammers_ML01_Mai11/A006850198_172448_S157_L001_R1_001.fastq.gz	A006850198	S157	L001	R1	Pool21-head	Pool21	head
0.data/mlammers_ML01_Mai11/	172448	0.data/mlammers_ML01_Mai11/A006850198_172448_S157_L002_R1_001.fastq.gz	A006850198	S157	L002	R1	Pool21-head	Pool21	head
0.data/mlammers_ML01_Mai11/	172450	0.data/mlammers_ML01_Mai11/A006850198_172450_S158_L001_R1_001.fastq.gz	A006850198	S158	L001	R1	Pool22-head	Pool22	head
0.data/mlammers_ML01_Mai11/	172450	0.data/mlammers_ML01_Mai11/A006850198_172450_S158_L002_R1_001.fastq.gz	A006850198	S158	L002	R1	Pool22-head	Pool22	head
0.data/mlammers_ML01_Mai11/	172452	0.data/mlammers_ML01_Mai11/A006850198_172452_S159_L001_R1_001.fastq.gz	A006850198	S159	L001	R1	Pool23-head	Pool23	head
0.data/mlammers_ML01_Mai11/	172452	0.data/mlammers_ML01_Mai11/A006850198_172452_S159_L002_R1_001.fastq.gz	A006850198	S159	L002	R1	Pool23-head	Pool23	head
0.data/mlammers_ML01_Mai11/	172454	0.data/mlammers_ML01_Mai11/A006850198_172454_S160_L001_R1_001.fastq.gz	A006850198	S160	L001	R1	Pool24-head	Pool24	head
0.data/mlammers_ML01_Mai11/	172454	0.data/mlammers_ML01_Mai11/A006850198_172454_S160_L002_R1_001.fastq.gz	A006850198	S160	L002	R1	Pool24-head	Pool24	head
0.data/mlammers_ML01_Mai11/	172456	0.data/mlammers_ML01_Mai11/A006850198_172456_S161_L001_R1_001.fastq.gz	A006850198	S161	L001	R1	Pool25-head	Pool25	head
0.data/mlammers_ML01_Mai11/	172456	0.data/mlammers_ML01_Mai11/A006850198_172456_S161_L002_R1_001.fastq.gz	A006850198	S161	L002	R1	Pool25-head	Pool25	head
0.data/mlammers_ML01_Mai11/	172458	0.data/mlammers_ML01_Mai11/A006850198_172458_S162_L001_R1_001.fastq.gz	A006850198	S162	L001	R1	Pool26-head	Pool26	head
0.data/mlammers_ML01_Mai11/	172458	0.data/mlammers_ML01_Mai11/A006850198_172458_S162_L002_R1_001.fastq.gz	A006850198	S162	L002	R1	Pool26-head	Pool26	head
0.data/mlammers_ML01_Mai11/	172460	0.data/mlammers_ML01_Mai11/A006850198_172460_S163_L001_R1_001.fastq.gz	A006850198	S163	L001	R1	Pool27-head	Pool27	head
0.data/mlammers_ML01_Mai11/	172460	0.data/mlammers_ML01_Mai11/A006850198_172460_S163_L002_R1_001.fastq.gz	A006850198	S163	L002	R1	Pool27-head	Pool27	head
0.data/mlammers_ML01_Mai11/	172462	0.data/mlammers_ML01_Mai11/A006850198_172462_S164_L001_R1_001.fastq.gz	A006850198	S164	L001	R1	Pool28-head	Pool28	head
0.data/mlammers_ML01_Mai11/	172462	0.data/mlammers_ML01_Mai11/A006850198_172462_S164_L002_R1_001.fastq.gz	A006850198	S164	L002	R1	Pool28-head	Pool28	head
0.data/mlammers_ML01_Mai11/	172464	0.data/mlammers_ML01_Mai11/A006850198_172464_S165_L001_R1_001.fastq.gz	A006850198	S165	L001	R1	Pool29-head	Pool29	head
0.data/mlammers_ML01_Mai11/	172464	0.data/mlammers_ML01_Mai11/A006850198_172464_S165_L002_R1_001.fastq.gz	A006850198	S165	L002	R1	Pool29-head	Pool29	head
0.data/mlammers_ML01_Mai11/	172466	0.data/mlammers_ML01_Mai11/A006850198_172466_S166_L001_R1_001.fastq.gz	A006850198	S166	L001	R1	Pool30-head	Pool30	head
0.data/mlammers_ML01_Mai11/	172466	0.data/mlammers_ML01_Mai11/A006850198_172466_S166_L002_R1_001.fastq.gz	A006850198	S166	L002	R1	Pool30-head	Pool30	head
